band_name;song_title;album_list;num_album;smallest_date;biggest_date;max_view;num_feat;profanity_count;profanity_ratio
Deftones;148;"['White Pony ' 'Around the Fur' 'Diamond Eyes' 'Saturday Night Wrist'
 'Adrenaline' 'Koi No Yokan' 'Deftones' 'Ohms' 'Gore' 'B-Sides & Rarities'
 'Eros [Unreleased]' 'Hexagram - Single'
 'Music from and Inspired by John Carpenter’s Escape from L.A.'
 '7 Words - Single'
 'Make Some Noise: The Amnesty International Campaign to Save Darfur'
 'For the Masses' 'Milk'
 'Saturday Night Wrist Bob Ezrin Produced Demos/Outtakes']";16;03/10/1995;26/10/2021;321357.0;11;41;0.27702702702702703
Don Broco;70;"['Technology' 'Amazing Things' 'ACTION - Single' 'Automatic (Deluxe)'
 'Thug Workout - EP' 'Priorities (Deluxe Version)'
 'Big Fat Smile (Deluxe Edition)' 'You Wanna Know - Single'
 'Living the Dream - EP']";5;04/11/2008;15/09/2023;31599.0;1;17;0.24285714285714285
Earthside;14;['A Dream In Static' 'Let the Truth Speak'];2;23/10/2015;17/11/2023;11917.0;13;0;0.0
Fightstar;86;"['Behind The Devil’s Back' 'They Liked You Better When You Were Dead'
 'Be Human' 'Grand Unification' 'Alternate Endings'
 'One Day Son, This Will All Be Yours'
 'Maiden Heaven: A Tribute to Iron Maiden '
 'Remastered: Metallica’s Master of Puppets Revisited'
 'Be Human (Deluxe Edition)']";8;25/02/2005;16/10/2015;;0;13;0.1511627906976744
Foals;117;"['What Went Down' 'Total Life Forever' 'Holy Fire'
 'Everything Not Saved Will Be Lost - Part 1'
 'Everything Not Saved Will Be Lost - Part 2' 'Antidotes'
 'Life Is Yours (Deluxe)' 'Hummer - Single' 'Balloons - Single'
 'Foals Live - EP' 'Rain / Daffodils [Single]' 'Miami - Single'
 'Red Socks Pugie - Single' 'Mathletics - Single'
 'Olympic Airways - Single' 'Cassius - Single'
 'Try This On Your Piano - Single' 'Radio 1 Rescores: Drive' 'Life Is Dub'
 'Holy Fire (Box Set Edition)']";10;27/03/2006;21/04/2023;171319.0;0;3;0.02564102564102564
Jason Isbell;54;"['Southeastern' 'Something More Than Free' 'Sirens of the Ditch'
 'Southern Family' 'Song Reader' 'Sirens of the Ditch (Deluxe Edition)'
 'Adopt A Highway Soundtrack'
 'Broken Hearts & Dirty Windows: Songs of John Prine Vol. 2'
 'The Ice Road (Music From and Inspired by the Netflix Film)']";8;10/06/2007;08/10/2021;174579.0;0;5;0.09259259259259259
Katatonia;180;"['The Great Cold Distance' 'The Fall of Hearts' 'City Burials'
 'Sanctitude' 'Discouraged Ones' 'Last Fair Deal Gone Down'
 'Night Is the New Day (Special Tour Edition)' 'Dead End Kings'
 'Viva Emptiness' 'Tonight’s Decision' 'Last Fair Day Gone Night'
 'Brave Murder Day' 'Sky Void of Stars' 'Mnemosynean'
 'Dance of December Souls' 'Sounds of Decay [EP]'
 'For Funerals to Come [EP]' 'Jhva Elohim Meth… the Revival [Demo]'
 'Dethroned & Uncrowned']";18;14/12/1993;20/01/2023;21315.0;5;12;0.06666666666666667
La Dispute;87;"['Wildlife' 'Somewhere at the Bottom of the River Between Vega and Altair'
 'Rooms of the House' 'Panorama'
 'Searching for a Pulse/The Worth of the World' 'Here, Hear. III'
 'Here, Hear.' 'Vancouver' 'Tiny Dots' 'Never Come Undone'
 'Here, Hear. II' 'Untitled 7""' 'Here, Hear, Vol. 4'
 'Winter Tour Holiday CD-R'
 'Whatever Nevermind: A Tribute to Nirvana’s Nevermind']";15;14/04/2006;24/12/2021;159338.0;2;6;0.06896551724137931
Lord of the Lost;223;"['Thornstar (Deluxe Edition)' 'Die Tomorrow'
 'From the Flame Into the Fire' 'Blood & Glitter'
 'Empyrean (Deluxe Edition)' 'Judas (Deluxe Edition)' 'Antagony' 'Fears'
 'Swan Songs III' 'Swan Songs II' 'Beside & Beyond'
 'Blood & Glitter Earbook Edition' 'Till Death Us Do Part - Best Of'
 'Till Death Us Do Part - Rarities & Remixes'
 'Weapons of Mass Seduction Deluxe Boxset' 'Swan Songs (Deluxe Edition)'
 'Dare to Know' 'Full Metal Whore' 'Communio Lupatum II'
 'Weapons of Mass Seduction Deluxe Edition']";14;28/08/2009;29/12/2023;13788.0;31;54;0.242152466367713
Metric;130;"['Greatest Hits Vol. 1' 'Synthetica' 'Pagans in Vegas' 'Fantasies'
 'Art of Doubt' 'Old World Underground, Where Are You Now?' 'Live It Out'
 'The Twilight Saga: Eclipse (Original Motion Picture Soundtrack)'
 'Formentera' 'Grow Up And Blow Away (2001 Edition)' 'Formentera II'
 'Grow Up and Blow Away'
 'Scott Pilgrim Takes Off (Soundtrack from the Netflix Original Series)'
 'Unreleased' 'The Time Is Now!' 'Fantasies (Spotify Covers) - EP'
 'Fantastic Voyages' 'Mainstream - EP' 'iTunes Session'
 'Cosmopolis (Original Motion Picture Soundtrack)' 'Static Anonymity - EP'
 'Help I’m Alive - Single' 'Gimme Sympathy - Single'
 'Synthetica (Reflections)']";20;02/09/2003;17/11/2023;292326.0;1;12;0.09230769230769231
